Código interno;Código de barras;Nome;Preço regular;Promocao;Data termino promocao;estoque;ativo
11902;7898646710031;ACQUISSIMA Passion Natural 1,5L Com Gás;85,7196294563771;2,99;31-DEZ-22;148;False
12902;;ALIM PASSARO FORTE 500g PAPAGAIO;14,9618817553097;8,90;31-DEZ-22;447;False
604;604;Abacate Avocado Kg;52,6620744772339;0;31-OUT-22;751;False
59;;Abacate Kg;49,0121085786532;4,95;31-FEV-21;66;True
10066;7898905879318;Abacaxi Em Calda Sabor E Artes;85,8097003344652;7,90;22-MAI-2023;511;False
13176;;Abacaxi Em Calda Tozzi 830G;26,9240284826459;9,90;10-JAN-21;834;False
60;;Abacaxi Un;46,5983775443678;;;917;False
5;;Abobora Cabotian Kg;11,309604215387;;;772;False
431;;Abobora Cabotian Picada Kg;68,0276788399797;;;69;False
311;;Abobora Moranga Kg;16,8366595609909;;;368;False
6;;Abobora Paulista Kg;10,8595781927674;;;289;False
219;;Abobora Seca Kg;0,148730532000415;;;229;False
361;;Abobrinha Brasileira Kg;23,9122501250322;;;137;False
7;;Abobrinha Italiana Kg;0,851203220028095;;;565;False
432;;Abobrinha Italiana Picada Kg;15,5540853514499;;;246;False
15133;7899674024312;Above Aerosol Women Soft Creme 150ml;27,6690825003905;;;517;False
13177;;Abraçadeira Rosca 3/4 C/2;10,2669442430444;;;274;False
13178;13178;Abracadeira Rosca Sem Fim 2Un;0,478972864853596;;;751;False
15764;7896771220289;Abridor De Lata C/Furador Use Util;78,2821542425722;;;199;False
12822;;Abridor De Lata Catuai 1Un;50,9325243406939;;;948;False
12823;7896771220005;Abridor De Lata Use Util;42,8521120333537;;;461;False
13365;;Abs Always Noites Tranq 8Un;4,34833890358099;;;605;False
9524;;Abs Carefree 15Un Sem Fragancia;0,472586993926118;;;840;False
9526;;Abs Carefree Protetor 15Un Orig;28,9345121529657;;;526;False
9527;;Abs Carefree Protetor Brisa 15Un;30,8195843533403;;;951;False
9499;;Abs Interno Intimus 8Un Medio;82,6631887421431;;;152;False
9500;;Abs Interno Intimus 8Un Mini;5,44556166663769;;;702;False
9501;;Abs Interno Intimus 8Un Super;46,7891260561184;;;58;False
9476;;Abs Intimus Gel 16Un C/Abas Seco;3,80204972143447;;;186;False
9474;;Abs Intimus Gel 16Un C/Abas Suave;23,2945721774764;;;587;False
9477;;Abs Intimus Gel Nor C/ Abas 8Un Suave;64,0482170748378;;;945;False
9478;9478;Abs Intimus Gel Normal 8Un C Abas Seca;34,4421864323322;;;776;False
9520;;Abs Intimus Not C/Abas 8Un;37,7549184028282;;;865;False
9521;;Abs Intimus Not C/Abas 8Un Seca;17,1904949243113;;;373;False
9503;;Abs Intimus Tripla Acao 8Un S/ Abas;46,3369163430792;;;692;False
9506;;Abs Ob Lev 10 Pag 8;24,461071312968;;;969;False
9510;;Abs Ob Super 10Un;7,18745681941884;;;726;False
9511;;Abs Sempre Livre 8Un S/ Abas Suave;36,6871341129822;;;66;False
9487;;Abs Sempre Livre Especial L16 P14 C/ Aba;63,3084451427676;;;150;False
9489;;Abs Sempre Livre Especial Sv C/ Abas;6,45825309038353;;;293;False
